House Tour,Flatliner
Starships,Rodeo
"BEAT UP CHANEL$",Lightning Polka
"Oops!...I did it again",6s to 9s 
"We R Who We R",Country Girl Shake
Born This Way,Mr. Put it Down
Blow,Off the Chain
Red Wine Supernova,Pieces to the Puzzle
360,Stetson
Your Love Is My Drug,Honkyonk Way
CRANK,Country Girl Stomp
Womanizer,Countdown 
Naked in Manhattan,Cowboy cha cha
Circus,Kerosene
Party in The USA,Redneck Angel 
Coconuts,Shes a Natural
Talk talk,TBD
Talk talk featuring troye sivan,TBD
"HOT TO GO!",Thicc as Thieves
I Kissed A Girl,Get Dirty
Super Graphic Ultra Modern Girl,Dizzy
Midnight Sun,Phat 
"Stateside + Zara Larsson",After Party 
Work Bitch,Delulu
Bad Girls,Gives Me Shivers
212,In Da Ghetto
Rain on Me (with Ariana Grande),Ooh Baby Baby
Lush Life,The Vibe
Tempo (feat. Missy Elliott),Saddle Up Shawty
Boyfriend,Partner Dance
Blondes,Partner Dance
Say So,Partner Dance
Busy Woman,Partner Dance
